Rua,Código,Descrição,Imagem do produto
L67,010600018,TRANSISTOR TIP42C,
L67,010600014,TRANSISTOR IGBT IRG4PC60FPBF,
L67,010600013,TRANSISTOR IRFBC30,
L68,010600012,TRANSISTOR IRF8010,
L68,010600011,TRANSISTOR SMD BC858 (BC858CLT1G),
L68,010600010,TRANSISTOR SMD BC847 (BC847CLT1G),
L69,010600021,TRANSISTOR IRLZ24NPBF,
L69,010600020,TRANSISTOR 2SC945,
L69,010600019,TRANSITOR IPW50R190CE,
L70,010600026,TRANSISTOR IRF840,
L70,010600023,TRANSISTOR MCR100-8,
L70,010600022,TRANSISTOR SMD BC817-40-7-F,
L71,010600029,0,
L71,010600028,TRANSISTOR P2N2222A,
L71,010600027,TRANSISTOR KSC945GTA,
L72,010600032,TRANSISTOR IPP120P04P4L03AKSA2 MOSFET CANAL P  40V 120A TO220-3,
L72,010600031,TRANSISTOR FQA9N90C_F109  MOSFET N-CH 900V 9A,
L72,010600030,TRANSISTOR IRF540,
ARMARIO 12,0,0,
ARMARIO 12 - ALTOS,139900067,ESPIRAL 20MM                                                                                                                                                                                            ,
ARMARIO 12 - ALTOS,130800021,ENVELOPE SANFONADO MOBIT,
0,0, ,
13-F,130800004,ENVELOPE - 200 X 280MM,
13-F,139900192,PLASTICO PARA PLASTIFICACAO A4,
13-F,131600010,PASTA COM PRENDEDOR TRANSPARENTE OFICIO 24X35,
13-F,139900026,FORMULARIO SEGURO DESEMPREGO  2 VIAS,
13-F,131600019,"PASTA PLASTICA EM ""L""  FUME",
13-F,131600033,PASTA SUSPENSA PLASTICA RIGIDA - TRANSPARENTE,
13-F,130800001,ENVELOPE DE PAPEL OURO  240 X 340MM                                                                                                                                                                     ,
13-F,131600001,PASTA AZ TAM OFICIO LOMBO ESTREITO,
0,0, ,
13-G,131800001,CALCULADORA,
13-G,130900019,ALMOFADA PARA CARIMBO,
13-G,139900073,CANETA MARCA TEXTO AMARELA                                                                                                                                                                              ,
13-G,130300008,CANETA MARCA TEXTO LARANJA                                                                                                                                                                              ,
13-G,139900242,PINCEL ATOMICO - VERMELHO,
13-G,139900241,PINCEL ATOMICO - PRETO,
13-G,139900237,PINCEL ATOMICO - AZUL,
13-G,130900003,ETIQUETA ADESIVA PIMACO,
0,0, ,
13-H,139900312,KIT PINCEL DE LOUSA PARA QUADRO                                                                                                                                                                         ,
13-H,131200006,GRAMPO PARA GRAMPEADOR 26/6 C/ 1000 UNIDADES                                                                                                                                                            ,
13-H,139900183,ORGANIZADOR PARA CARIMBOS C/ PORTA OBJETOS                                                                                                                                                              ,
13-H,040400003,CD-R 700MB 800 MIN.                                                                                                                                                                                     ,
13-H,139900120,GRAFITE PARA LAPISEIRA 0.9MM                                                                                                                                                                            ,
13-H,139900266,BLOCO DE NOTAS MOLESKINE                                                                                                                                                                                ,
13-H,130500002,CLIPS 8/0 GALVANIZADO                                                                                                                                                                                   ,
13-H,139900180,GRAMPEADOR DE MESA 26/6                                                                                                                                                                                 ,
13-H,010800016,FITA DUREX - AZUL,
13-I,130700000,CORRETIVO LIQUIDO                                                                                                                                                                                       ,
13-I,131500027,ENVELOPE TIPO CARTA TIMBRADO MOBIT,
13-I,130800002,ENVELOPE DE PAPEL OURO  245 X 185MM,
13-I,131500029,PASTA COM BOLSO TIMBRADO MOBIT,
13-I,131500003,PAPEL OFICIO TIMBRADO                                                                                                                                                                                   ,
0,0, ,
13-J,139900047,ESPIRAL 09MM,
13-J,139900059,ESPIRAL  17MM,
13-J,139900060,ESPIRAL  25MM,
13-J,139900061,ESPIRAL  29MM,
13-J,139900064,ESPIRAL 07MM,
13-J,139900069,ESPIRAL 23MM,
13-J,131500015,PAPEL CONTACT TRANSPARENTE                                                                                                                                                                              ,
13-J,130400004,CONTRA CAPA PARA ENCADERNAMENTO A4 MOBIT,
13-J,130400003,CAPA PARA ENCADERNAMENTO A4 MOBIT,
ARMAZEM 05,0,0,
14-A,070500014,FLASH XENON RS-FLASH,
14-A,049900069,RADIO NANOSTATION 16DBI 5.8GHZ,
0,0, ,
14-B,SEM ITENS,SEM ITENS,
0,0, ,
14-C,011400011,CONECTOR DB9 FEMEA SOLDA FIO,
14-C,?,DESCOBRIR,
0,0, ,
14-D,041200003,HD SATA 1 TB,
14-D,013800003,RELE ML2RC-5V,
14-D,049900087,ROTEADOR WI-FI,
14-D,049900026,RECEPTOR GPS - G MOUSE DC3.3V-5.0V,
14-D,013400025,PLACA RS-DL3 DETECTORA,
14-D,030300006,CHASSI DETETORA RS-DL3  1.3.4.80 REV 02,
14-D,011900002,TOMADA DE PAINEL 2P+T P/ PAINEL NBR 14136,
0,0, ,
14-E,012200009,FONTE DE ALIMENTACAO MS-150 -24 24V 6.5A,
14-E,049900066,TESTADOR DE CABO DE REDE,
14-E,012000015,PROTETOR DE SURTO P/ REDE LAN LAIRD ESP-100-POE,
14-E,012200003,FONTE DE ALIMENTACAO 12V 30A MS-360-12,
14-E,030300004,FRENTE CEGA 1.3.4.70 REV 00,
0,0, ,
14-F,049900097,RADIO NANOSTATION 13DBI 5.8GHZ,
14-F,012200012,FONTE DE ALIMENTACAO 12V 5A  EFM 1205 INTELBRAS,
0,0, ,
14-G,019900011,TRILHO KF-160,
14-G,070500003,MODULO MEDIDOR RS-V2.0 3FX,
0,0, ,
14-H,070500001,MODULO MEDIDOR RS-V2.0 1FX,
14-H,070500002,MODULO MEDIDOR RS-V2.0 2FX,
0,0, ,
14-I,070500041,MODULO REGISTRADOR MITS VIDEO,
0,0, ,
14-J,070500007,MODULO REGISTRADOR RS-V2.0,
0,0, ,
14-K,070500007,MODULO REGISTRADOR RS-V2.0,
0,0, ,
14-L,070500007,MODULO REGISTRADOR RS-V2.0,
14-L,070500008,MODULO DISPLAY INTERNO RS-V2.0,
0,0, ,
14-M,040600001,COOLER 80X80X25MM 12V ADDA  AD08012UB257603,
14-M,040800006,FONTE DE ALIMENTACAO MOD.CHM 24-5,
0,0, ,
14-N,070500012,MODULO MEDIDOR RS-V1.0                                                                                                                                                                                  ,
14-N,049900100,OCR - HARDKEY USB - GAUSSIAN,
14-N,012200026,CONVERSOR DC-DC CVR24/12 30A CORZUS,
0,0, ,
14-O,011700003,DISJUNTOR BIFASICO 16A CURVA B,
0,0, ,
14-P,020100017,CAMERA IP ITSCAM 312 + LENTE,
14-P,041200004,HD SATA 320GB 7200,
0,0, ,
14-Q,049900004,OCR CARMEN,
14-Q,020200010,"LENTE IR IRIS MANUAL 1/3"" 10-40MM 13VM1040ASIR TAMRON",
14-Q,101400010,MULTIMETRO DIGITAL ET-1605 MINIPA,
14-Q,101400002,MULTIMETRO DIGITAL ET-2082 B,
14-Q,101400012,MULTIMETRO DIGITAL ET-2030A MINIPA,
14-Q,101400011,MULTIMETRO DIGITAL ET-2042 MINIPA,
0,0, ,
14-R,049900172,ROTEADOR WI-FI ROUTERBOARD RB941-2ND -TC L4 HAP LITE MIKROTIK,
14-R,049900159,ROTEADOR 3G/4G TP LINK TL-MR3420,
0,0, ,
14-S,040800006,FONTE DE ALIMENTACAO MOD.CHM 24-5,
14-S,011900014,TOMADA QUADRUPLA PARA PAINEL 2P+T EX-4525,
0,0, ,
14-T,040800006,FONTE DE ALIMENTACAO MOD.CHM 24-5,
14-T,019900371,CAIXA DE PASSAGEM STECK CINZA 170X145X90MM,
14-T,019900346,CAIXA DE PASSAGEM STECK CINZA 154X110X70MM,
14-T,019900370,CAIXA DE PASSAGEM STECK CINZA 234X174X143MM,
0,0, ,
14-U,070900023,PLACA DE SINALIZA AMARELO,
14-U,040800007,FONTE DE ALIMENTACAO MOD.CHM 12/5,
14-U,049900183,SWITCH 8 PORTAS 10/100/1000 MBPS SG800Q+,
14-U,019900372,CAIXA DE PASSAGEM STECK CINZA 230X180X90MM,
0,0, ,
14-V,040800004,FONTE DE ALIMENTACAO MOD.CHM 12/10,
14-V,070900024,PLACA DE SINALIZA VERDE E LARANJA,
14-V,070900016,PLACA DE DIGITO AMARELO,
0,0, ,
14-W,079900000,REGUA DE TOMADAS,
0,0, ,
14-X,041800004,NOBREAK,
0,0, ,
ESTANTE AZUL,CODIGO, ,
14-A,049900255,"CABO DE REDE PATCH CORD 1,5M CAT 6 AZUL                                                                                                                                                                 ",
0,0, ,
14-B,110900000,"ABRACADEIRA NYLON T18R PEQUENA 2,5MMX100M HELLERMANNTYTON.",
0,0, ,
14-C,110900006,"ABRACADEIRA NYLON T18L GRANDE 2,5MMX200MM PCT 100UND",
0,0, ,
14-D,049900072,"CABO DE REDE PATCH CORD 1,5M CAT 5E AZUL",imagens_produtos\049900072_produto049900072.jpeg
0,0, ,
14-E,049900072,"CABO DE REDE PATCH CORD 1,5M CAT 5E AZUL",imagens_produtos\049900072_produto049900072.jpeg
0,0, ,
14-F,049900076,"CABO DE REDE PATCH CORD 1,5M CAT 5E VERDE",
0,0, ,
14-G,049900077,"CABO DE REDE PATCH CORD 1,5M CAT 5E VERMELHO",
0,0, ,
14-H,049900077,"CABO DE REDE PATCH CORD 1,5M CAT 5E VERMELHO",
15-A,099900405,CAMISA POLO SPE RCR M/L AZUL COM FITAS REFLETIVAS TAM GG                                                                                                                                                ,
15-A,099900403,CAMISA POLO SPE RCR M/L AZUL COM FITAS REFLETIVAS TAM M                                                                                                                                                 ,
15-A,099900419,CALCA BRIM LARANJA SPE RCR COM FITAS REFLETIVAS TAM GG                                                                                                                                                  ,
15-A,099900412,CAMISA BRIM LARANJA SPE RCR COM FITAS REFLETIVAS TAM GG                                                                                                                                                 ,
15-A,099900410,CAMISA BRIM LARANJA SPE RCR COM FITAS REFLETIVAS TAM M                                                                                                                                                  ,
15-A,099900417,CALCA BRIM LARANJA SPE RCR COM FITAS REFLETIVAS TAM M                                                                                                                                                   ,
0,0, ,
15-B,099900396,CALCA JEANS SPE RCR TAM 46                                                                                                                                                                              ,
15-B,099900395,CALCA JEANS SPE RCR TAM 44                                                                                                                                                                              ,
15-B,099900394,CALCA JEANS SPE RCR TAM 42                                                                                                                                                                              ,
15-B,099900398,CALCA JEANS SPE RCR TAM 50                                                                                                                                                                              ,
15-B,099900388,SACOLA DE EPI SPE RCR                                                                                                                                                                                   ,
0,0, ,
15-C,099900402,CAMISA POLO SPE RCR M/L AZUL COM FITAS REFLETIVAS TAM P                                                                                                                                                 ,
15-C,099900404,CAMISA POLO SPE RCR M/L AZUL COM FITAS REFLETIVAS TAM G                                                                                                                                                 ,
15-C,099900389,COLETE LARANJA SPE RCR COM FITAS REFLETIVAS TIPO JAQUETA TAM M                                                                                                                                          ,
15-C,099900386,CAMISA POLO AZUL COM LOGO SPE RCR TAM 4G                                                                                                                                                                ,
15-C,099900382,CAMISA POLO AZUL COM LOGO SPE RCR TAM M                                                                                                                                                                 ,
15-C,099900384,CAMISA POLO AZUL COM LOGO SPE RCR TAM GG                                                                                                                                                                ,
15-C,099900383,CAMISA POLO AZUL COM LOGO SPE RCR TAM G                                                                                                                                                                 ,
0,0, ,
15-D,099900390,COLETE LARANJA SPE RCR COM FITAS REFLETIVAS TIPO JAQUETA TAM G                                                                                                                                          ,
15-D,099900393,CALCA JEANS SPE RCR TAM 40                                                                                                                                                                              ,
15-D,070500043,MODULO POTENCIA KIT PRE-MONTADO (GABINETE + SENSOR DE ENERGIA + CONECTORES)                                                                                                                             ,
0,070500043, ,
15-E,070500043,MODULO POTENCIA KIT PRE-MONTADO (GABINETE + SENSOR DE ENERGIA + CONECTORES)                                                                                                                             ,
3-G,070500043,MODULO POTENCIA KIT PRE-MONTADO (GABINETE + SENSOR DE ENERGIA + CONECTORES)                                                                                                                             ,
15-F,099900418,CALCA BRIM LARANJA SPE RCR COM FITAS REFLETIVAS TAM G                                                                                                                                                   ,
15-F,099900411,CAMISA BRIM LARANJA SPE RCR COM FITAS REFLETIVAS TAM G                                                                                                                                                  ,
15-F,090300059,BOTA DE COURO S/ BI DE ACO BRACOL TAM 37,
15-F,090300053,BOTA DE COURO S/ BI DE ACO BRACOL TAM 40,
0,0, ,
15-G,070500018,MODULO POTENCIA 24V 20A MITS,
0,0, ,
15-H,070500018,MODULO POTENCIA 24V 20A MITS,
0,0, ,
15-I,070500033,MODULO MEDIDOR MITS LOOP 3FX,
0,0, ,
15-J,070500036,MODULO MEDIDOR MITS LOOP 6FX,imagens_produtos\070500036_1_070500036_produto070500036.jpeg;imagens_produtos\070500036_2_produto070500036.jpeg;imagens_produtos\070500036_3_070500036_produto070500036.jpeg
15-J,070500035,MODULO MEDIDOR MITS LOOP 5FX,
0,0, ,
15-K,070500041,MODULO REGISTRADOR MITS VIDEO,
0,0, ,
15-L,SEM ITENS,SEM ITENS,
0,0, ,
15-M,SEM ITENS,SEM ITENS,
0,0, ,
15-N,039900219,PELICULA ANTIREFLEXO,
15-N,039900258,PELICULA  POLARIZADA P/ TV LCD 42 POLEGADAS (940X530 MM),
0,0, ,
15-O,SEM ITENS,SEM ITENS,
0,0, ,
15-P,070500037,MODULO REGISTRADOR MITS LOOP,imagens_produtos\070500037_produto070500037.jpeg
0,0, ,
15-Q,070500037,MODULO REGISTRADOR MITS LOOP,imagens_produtos\070500037_produto070500037.jpeg
0,0, ,
15-R,070500037,MODULO REGISTRADOR MITS LOOP,imagens_produtos\070500037_produto070500037.jpeg
0,0, ,
15-S,070500037,MODULO REGISTRADOR MITS LOOP,imagens_produtos\070500037_produto070500037.jpeg
0,0, ,
15-T,SEM ITENS,SEM ITENS,
16-A,090300061,BOTA DE COURO S/ BI DE ACO BRACOL TAM 35,
16-A,090300060,BOTA DE COURO S/ BI DE ACO BRACOL TAM 36,
16-A,090300059,BOTA DE COURO S/ BI DE ACO BRACOL TAM 37,
16-A,090300051,BOTA DE COURO S/ BI DE ACO BRACOL TAM 38,
0,0, ,
16-B,090100023,CARTUCHO RC1 PARA RESPIRADOR CARBOGRAFITE CG-304N,
16-B,090100004,CARTUCHO PARA RESPIRADOR CARBOGRAFITE CG-306,
16-B,090100005,RESPIRADOR CARBOGRAFITE CG-306,
16-B,090100024,RESPIRADOR CARBOGRAFITE CG-304N,
0,0, ,
16-C,090800011,PROTETOR SOLAR FPS 60 NUTRIEX 120 ML,
16-C,090800010,REPELENTE DE INSETOS EM SPRAY,
16-C,090100008,MASCARA DESCARTAVEL PFF2,
0,0, ,
16-D,090200003,OCULOS DE SOBREPOR INCOLOR,
16-D,090200004,OCULOS DE SOBREPOR ESCURO,
16-D,090200005,"OCULOS DE PROTECAO, LENTE CINZA, TIPO AGUIA MARCA DANNY",
16-D,090800004,PROTETOR AURICULAR TIPO CONCHA,
0,0, ,
16-E,090200001,"OCULOS DE PROTECAO, LENTE ESCURA, MARCA 3M",
16-E,090200002,"OCULOS DE PROTECAO, LENTE INCOLOR, MARCA 3M",
16-E,090200006,"OCULOS DE PROTECAO, INCOLOR,AGUIA MARCA DANNY",
0,0, ,
16-F,070500003,MODULO MEDIDOR RS-V2.0 3FX,
16-F,099900098,CARNEIRA 3M COM CATRACA H-700,
0,0, ,
16-G,090300052,BOTA DE COURO S/ BI DE ACO BRACOL TAM 39,
16-G,090300053,BOTA DE COURO S/ BI DE ACO BRACOL TAM 40,
16-G,090300054,BOTA DE COURO S/ BI DE ACO BRACOL TAM 41,
0,0, ,
16-H,090700009,LUVA DE SEG. PVC,
16-H,090700003,LUVA LATEX,
16-H,090700006,LUVA DE PANO PIGMENTADA,
0,0, ,
16-I,090800005,PROTETOR AURICULAR TIPO PLUG,
16-I,099900235,FITA DE ANCORAGEM,
16-I,099900291,FITA ADESIVA PARA DEMARCACAO DE SOLO BRANCA,
16-I,090700052,"LUVA ALTA TENSAO 5KV 10000V N9,5",
16-I,090700019,LUVA DE COBERTURA  P/ LUVA DE BORRACHA,
0,0, ,
16-J,099900073,"JUGULAR PARA CAPACETE H-700, MARCA 3M",
16-J,090700016,LUVA DE RASPA DE COURO CANO LONGO,
16-J,090700017,LUVA DE VAQUETA MISTA,
0,0, ,
16-K,090700021,MANGOTE DE COURO PARA SOLDADOR,
0,0, ,
16-L,099900182,TALABARTE DE POSICIONAMENTO,
16-L,090100002,MASCARA P/ SOLDADOR,
16-L,090100000,PROTETOR FACIAL N.8,
0,0, ,
16-M,090300055,BOTA DE COURO S/ BI DE ACO BRACOL TAM 42,
16-M,090300056,BOTA DE COURO S/ BI DE ACO BRACOL TAM 43,
0,0, ,
16-N,090100018,RESPIRADOR SEMI FACIAL MSA ADVANTAGE 200LS,
16-N,090100019,CARTUCHO QUIMICO MSA GMC BAIONETA – VAPORES ORGANICOS,
16-N,090100020,ANEL PRENDEDOR FILTRO MSA BAIONETA,
16-N,090100021,FILTRO P1 P/ RESPIRADOR ADVANTAGE 200LS,
0,0, ,
16-O,090700031,LUVA DE SEG TRICOT EM NYLON PRETA TAM P,
16-O,090700032,LUVA DE SEG TRICOT EM NYLON PRETA TAM M,
16-O,090700033,LUVA DE SEG TRICOT EM NYLON PRETA TAM G,
0,0, ,
16-P,099900289,FITA ADESIVA PARA DEMARCACAO DE SOLO VERMELHA,
16-P,099900342,BALACLAVA ANTI CHAMA,
16-P,090700050,LUVA ISOLANTE CLASSE 00,
0,0, ,
16-Q,090700030,LUVA DE PROTECAO PARA MOTOCICLISTA,
0,0, ,
16-R,090700011,LUVA DE BORRACHA PARA ELETRICISTA  ATE 1000 V,
16-R,090700040,LUVA MAPA MUCAMBO KRYTECH 586,
0,0, ,
16-S,090300057,BOTA DE COURO S/ BI DE ACO BRACOL TAM 44,
16-S,090300058,BOTA DE COURO S/ BI DE ACO BRACOL TAM 45,
0,0, ,
16-T,090700023,BANDEIROLA DE SINALIZACAO LARANJA COM CABO DE MADEIRA 50CMX 50CM,
16-T,099900121,APITO FOX 40 PEARL,
16-T,090500006,CINTA LOMBAR ERGONOMICA,
16-T,099900210,BANDEIROLA DE SINALIZACAO PARA ESCADA REFORCADA NA COR VERMELHA,
0,0, ,
16-U,099900231,FIEL PARA APITO,
16-U,099900345,TRAVA QUEDA P ELETRICISTA                                                                                                                                                                               ,
0,0, ,
16-V,090800015,KIT DE PRESILHAS DE JOELHEIRA E COTOVELEIRA DE MOTOCICLISTA,
16-V,099900013,FITA ZEBRADA C/200 MTS.,
16-V,099900110,MACACAO DUVEK 2000 PARA PRODUTOS QUIMICOS,
0,0, ,
16-W,099900273,CAPA DE CHUVA EM PVC COM CAPUZ TAM GG,
16-W,099900272,CAPA DE CHUVA EM PVC COM CAPUZ TAM G,
0,0, ,
16-X,099900117,MACACAO PARA APICULTURA TAM-G,
16-X,090100009,SUPORTE PARA OS PES,
0,0, ,
17-A,099900105,BOTA DE BORRACHA CANO LONGO TAM-45,
17-A,099900104,BOTA DE BORRACHA CANO LONGO TAM-43,
17-A,099900052,BOTA DE BORRACHA CANO LONGO TAM-44,
0,0, ,
17-B,099900193,CAMISA GOLA CARECA LARANJA VIA LIVRE TAM XG,
17-B,099900205,BATA M/L EM BRIM VERDE COM FAIXA REFLETIVA VIA LIVRE TAM XG,
0,0, ,
17-C,099900199,CALCA EM BRIM VERDE COM FAIXAS REFLETIVAS VIA LIVRE TAM XG,
17-C,099900205,BATA M/L EM BRIM VERDE COM FAIXA REFLETIVA VIA LIVRE TAM XG,
0,0, ,
17-D,099900194, ,
17-D,099900200,CALCA EM BRIM VERDE COM FAIXAS REFLETIVAS VIA LIVRE TAM XGGG,
17-D,099900206,BATA M/L EM BRIM VERDE COM FAIXA REFLETIVA VIA LIVRE TAM XGGG,
0,0, ,
17-E,099900206,BATA M/L EM BRIM VERDE COM FAIXA REFLETIVA VIA LIVRE TAM XGGG,
0,0, ,
17-F,099900214,CAMISA GOLA CARECA LARANJA VIA LIVRE TAM EXGGGGG,
17-F,099900213,CALCA EM BRIM VERDE COM FAIXAS REFLETIVAS VIA LIVRE TAM EXGGGGG,
17-F,099900215,BATA M/L EM BRIM VERDE COM FAIXA REFLETIVA VIA LIVRE TAM EXGGGGG,
0,0, ,
17-G,099900005,BOTA DE BORRACHA CANO LONGO TAM-40,
17-G,099900051,BOTA DE BORRACHA CANO LONGO TAM-42,
0,0, ,
17-H,099900191,CAMISA GOLA CARECA LARANJA VIA LIVRE TAM G                                                                                                                                                              ,
17-H,099900197,CALCA EM BRIM VERDE COM FAIXAS REFLETIVAS VIA LIVRE TAM G                                                                                                                                               ,
0,0, ,
17-I,099900203,BATA M/L EM BRIM VERDE COM FAIXA REFLETIVA VIA LIVRE TAM G,
0,0, ,
17-J,099900192,CAMISA GOLA CARECA LARANJA VIA LIVRE TAM GG                                                                                                                                                             ,
17-J,099900198,CALCA EM BRIM VERDE COM FAIXAS REFLETIVAS VIA LIVRE TAM GG,
17-J,099900204,BATA M/L EM BRIM VERDE COM FAIXA REFLETIVA VIA LIVRE TAM GG,
0,0, ,
17-K,SEM ITENS,SEM ITENS,
0,0, ,
17-L,090500005,CINTO PARAQUEDISTA MOD. PQ3/PF/RS/ALC COM AJUSTE SUPERIOR,
0,0, ,
17-M,099900103,BOTA DE BORRACHA CANO LONGO TAM-41,
17-M,099900102,BOTA DE BORRACHA CANO LONGO TAM-39,
17-M,099900209,CANTIL TERMICO 1L,
0,0, ,
17-N,099900195,CALCA EM BRIM VERDE COM FAIXAS REFLETIVAS VIA LIVRE TAM P                                                                                                                                               ,
0,0, ,
17-O,099900189,CAMISA GOLA CARECA LARANJA VIA LIVRE TAM P,
0,0, ,
17-P,SEM ITENS,SEM ITENS,
0,0, ,
17-Q,SEM ITENS,SEM ITENS,
0,0, ,
17-R,090100011,MOUSEPAD COM APOIO EM GEL,
17-R,099900187,SUPORTE DE MESA PARA MONITOR,
0,0, ,
18-A,099900207,BONE ARABE VERDE VIA LIVRE TAM U,
18-A,090300072,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 44,
0,0, ,
18-B,099900266,"BERMUDA FEMININA TAM. GG EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
18-B,099900265,"BERMUDA FEMININA TAM. G EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
18-B,099900240,"BERMUDA FEMININA TAM. P EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
18-B,099900241,"BERMUDA FEMININA TAM. M EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
0,0, ,
18-C,099900255,"BERMUDA MASCULINA TAM. G EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
18-C,099900237,"BERMUDA FEMININA TAM. PP EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
18-C,099900253,"BERMUDA MASCULINA TAM. P EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
0,0, ,
18-D,099900238,"CAMISA GOLA CARECA FEMININA TAM.P BABYLOOK EM MALHA  PV LARANJA, "" MANGA CURTA COM 1 SILK FRENTE (VIA LIVRE) COM SILK (FRENTE E COSTA) E BORDADO NAS MANGAS",
18-D,099900242,"CAMISA GOLA CARECA FEMININA TAM. GG BABYLOOK EM MALHA  PV LARANJA, "" MANGA CURTA COM 1 SILK FRENTE (VIA LIVRE) COM SILK (FRENTE E COSTA) E BORDADO NAS MANGAS",
18-D,099900268,"CAMISA GOLA CARECA FEMININA TAM.G BABYLOOK EM MALHA  PV LARANJA, "" MANGA CURTA COM 1 SILK FRENTE (VIA LIVRE) COM SILK (FRENTE E COSTA) E BORDADO NAS MANGAS",
18-D,099900267,"CAMISA GOLA CARECA FEMININA TAM.M BABYLOOK EM MALHA  PV LARANJA, "" MANGA CURTA COM 1 SILK FRENTE (VIA LIVRE) COM SILK (FRENTE E COSTA) E BORDADO NAS MANGAS",
0,0, ,
18-E,099900256,"BERMUDA MASCULINA TAM. GG EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
18-E,099900270,"CAMISA GOLA CARECA FEMININA EM MALHA TAM. G EM POLIAMIDA COM PROTECAO UV LARANJA DA FARBE, MANGA LONGA SEM LOGOMARCA",
18-E,099900258,"BERMUDA MASCULINA TAM. EXTRA XGG EM BRIM CEDRO VERDE 4198 COM 05 BOLSOS (SENDO 02 TIPO FACA, 02 CARGO LATERAL E 01 COSTA COM FITA REFLETIVA DE 2,5CM NA PERNA",
0,0, ,
18-F,099900262,"CAMISA GOLA CARECA MASCULINA EM MALHA TAM. XG EM POLIAMIDA COM PROTECAO UV LARANJA DA FARBE, MANGA LONGA SEM LOGOMARCA                                                                                  ",
0,0, ,
18-G,090300065,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 37,
18-G,090300064,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 36,
18-G,090300066,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 38,
0,0, ,
18-H,099900179,CAMISA POLO AZUL COM LOGO MOBIT TAM PP,
0,099900162,CAMISA POLO AZUL COM LOGO MOBIT TAM P                                                                                                                                                                   ,
18-I,099900163,CAMISA POLO AZUL COM LOGO MOBIT TAM M                                                                                                                                                                   ,
18-I,099900167,CAMISA POLO AZUL COM LOGO MOBIT TAM 4G                                                                                                                                                                  ,
0,0, ,
18-J,099900243,"CAMISA GOLA CARECA FEMININA TAM. EXG BABYLOOK EM MALHA  PV LARANJA, "" MANGA CURTA COM 1 SILK FRENTE (VIA LIVRE) COM SILK (FRENTE E COSTA) E BORDADO NAS MANGAS",
0,0, ,
18-K,099900165,CAMISA POLO AZUL COM LOGO MOBIT TAM GG,
0,0, ,
18-L,099900172,CAMISA POLO AZUL COM NOME MOBIT TAM 3G,
18-L,099900166,CAMISA POLO AZUL COM LOGO MOBIT TAM 3G,
0,0, ,
18-M,090300063,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 35,
18-M,090300068,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 40,
0,0, ,
18-N,099900151,COLETE LARANJA MOBIT COM FITAS REFLETIVAS TIPO JAQUETA TAM GG,
18-N,099900150,COLETE LARANJA MOBIT COM FITAS REFLETIVAS TIPO JAQUETA TAM G,
0,0, ,
18-O,099900174,SACOLA DE EPI MOBIT,
18-O,099900160,TOUCA ARABE LARANJA MOBIT,
18-O,099900161,TOUCA ARABE AZUL MOBIT,
0,0, ,
18-P,099900228,CAPA DE CHUVA EM PVC COM CAPUZ E FAIXA REFLETIVA TAM GG,
18-P,099900157,JALECO AZUL MOBIT TAM M,
0,0, ,
18-Q,099900226,CAPA DE CHUVA EM PVC COM CAPUZ E FAIXA REFLETIVA TAM M,
18-Q,099900158,JALECO AZUL MOBIT TAM G,
0,0, ,
18-R,099900227,CAPA DE CHUVA EM PVC COM CAPUZ E FAIXA REFLETIVA TAM G,
18-R,099900159,JALECO AZUL MOBIT TAM GG,
0,0, ,
19-A,090300071,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 43,
19-A,090300070,BOTA DE COURO S/ BI DE ACO COM CADARCO TAM 42,
