Rua,Código,Descrição,Imagem do produto
7-P,012200034,NOBREAK XNB 720 720VA ENTRADA E SAIDA DE 220V PRETO,
0,0, ,
7-Q,013900007,TERMO CONTRACTIL 1.5MM,
7-Q,013900006,"TERMO CONTRACTIL 1.6MM  (1/16"")",
0,0, ,
7-R,013900001,TERMO CONTRACTIL 5MM,
0,0, ,
7-S,012300007,FUSIVEL 10A 20X5MM,
7-S,012300017,FUSIVEL LAMINA MEDIO 25A,
7-S,012300004,"FUSIVEL 6,3A 20X5MM",
7-S,012100000,TERMINAL BRONZE FOSFOROZO DOURADO MLTF,
7-S,012100036,TERMINAL TUBULAR IILHOS E1612 16MM,
7-S,012100021,TERMINAL FASTON FEMEA 10-12 AWG ISOLADO 640907-1,
7-S,012100019,TERMINAL MFTF-1822,
7-S,012100001,TERMINAL KK PCT2,
0,0, ,
0,0, ,
7-T,011000072,CAP CER SMD (0805) 100NF 50V (C0805C104K5RACTU),
7-T,013500167,RESISTOR SMD (0805) 15K 1/8W 1% MCR10EZHF1502,
7-T,013500256,RESISTOR SMD (0805) 412K 1/8W 1% (ERJ-6ENF4123V)                                                                                                                                                        ,
7-T,019900147,ISOLANTE DISSIPATIVO SILGLASS COM FURO P/ TO220,
7-T,011200012,CI SN75176BP,
7-T,011200158,CI SMD AT24C512C-MAHM-T  INVOLUCRO  UDFN 8 PINOS,
7-T,012600001,SOQUETE CI 08 PINOS,
7-T,012600006,SOQUETE CI 16 PINOS,
7-T,010100024,DIODO TVS SMD SP3304NUTG 3.3V 20A                                                                                                                                                                       ,
7-T,010100009,DIODO TVS SMD SMCJ15A  15V 1500W                                                                                                                                                                        ,
7-T,011000161,"CAP CER SMD (0805) 4,7NF 50V X7R",
7-T,011000126,"CAP CER SMD (2220) 4,7UF 100V C5750X7R2A475M",
7-U,011400003,BARRA DE PINOS BPDC-80,
7-U,015000013,SENSOR TEMPERATURA TERMOPAR TIPO K                                                                                                                                                                      ,
7-U,010800011,VARISTOR 7N680K/60V,
7-U,011000033,CAP POL 100NF 100V,
7-U,011000006,CAP ELET 1000UF 16V,
